title,first_name,occupation,nationality,birth_year,age,article,url
louise cochrane,louise,writer,American,1918,93,"louise cochrane ( 22 december 1918 -- 13 february 2012 ) was an american-born writer and television producer best known for creating the bbc children 's tv programme `` rag, tag and bobtail '' in the early 1950s. she also wrote a series of career guidance books for young people and a biography of the 12th-century philosopher adelard of bath.",https://en.wikipedia.org/wiki/index.php?curid=36284660
margaret alison telfer,margaret,administrator,Australian,1904,69,margaret alison telfer ( 21 october 1904 -- 24 may 1974 ) was a university administrator at the university of sydney.,https://en.wikipedia.org/wiki/index.php?curid=44261054
mel stuart,mel,director,American,1928,83,"mel stuart, born stuart solomon ( september 2, 1928 -- august 9, 2012 ), was an american film director and producer. stuart directed the fantasy-musical `` willy wonka & the chocolate factory '' ( 1971 ). he has directed other features, including `` if it 's tuesday, this must be belgium '' ( 1969 ), `` one is a lonely number '' ( 1972 ) and '' '' ( 2000 ). stuart also directed feature documentaries including `` four days in november '' and `` wattstax ''. in addition he has directed or produced over 180 films including movies of the week, `` the triangle factory fire scandal '', `` bill '', `` the chisholms '', and `` ruby and oswald '', the television series `` ripley 's believe it not '', and the documentaries `` the making of the president 1960 '', 1964, and 1968, `` the hobart shakespeareans '', `` the rise and fall of the third reich '', `` man ray -- the prophet of the avant-garde '', `` george plimpton and the philharmonic '' and `` the poet 's view ''. he was awarded four emmy awards, an academy award nomination, a peabody, and numerous other awards. stuart also served as president of the international documentary association for two years. he often worked with tv producer david l. wolper. stuart died of cancer at his beverly hills home on august 9, 2012.",https://en.wikipedia.org/wiki/index.php?curid=2111767
james collins ( public servant ),james,official,Australian,1869,65,"james richard collins ( 14 march 186918 june 1934 ) was a senior australian public servant, best known for his time as head of the department of the treasury",https://en.wikipedia.org/wiki/index.php?curid=43575346
william cullen bryant,william,poet,American,1794,83,"william cullen bryant ( november 3, 1794 -- june 12, 1878 ) was an american romantic poet, journalist, and long-time editor of the `` new york evening post ''.",https://en.wikipedia.org/wiki/index.php?curid=232024
miguel rodriguez ( actor ),miguel,actor,Filipino,1961,35,"miguel rodriguez ( november 23, 1961 -- february 14, 1997 ) was an actor and a model. he got his start in show business when he was discovered by lino brocka, who cast him in a close up commercial in 1981. often referred to as the filipino christopher reeve, he was most famous for his role on the television sitcom palibhasa lalake, and for his role opposite sharon cuneta in the 1983 movie `` to love again. '' he also was known for having appeared with snooky in the 1984 film `` experience '' in which he plays an actor in the film whose character protects snooky in the film from a person stalking her. he eventually became an action film star, appearing in `` bir mammud: alyas boy muslim '' ( 1989 ), `` hindi kita iiwanang buhay: kapitan paile '' ( 1990 ) and `` hanggang kailan kita papatay '' ( 1990 ). he retired as the actor after the release of `` huwag mong isuko ang laban '' ( 1995 ). he married popular fashion stylist and socialite irene salud on march 14, 1987 at the st. pancratius chapel, paco park, manila. the late actor/national artist fernando poe, jr. and mother lily monteverde of regal films were among their principal sponsors. he died from pancreatitis in 1997 at the age of 35.",https://en.wikipedia.org/wiki/index.php?curid=27825345
antónio da silva porto,antónio,explorer,Portuguese,1817,72,"antónio francisco ferreira da silva porto ( 24 august 1817 - 2 april 1890 ) was a portuguese trader and explorer in angola, in the portuguese west africa.",https://en.wikipedia.org/wiki/index.php?curid=7084952
heinrich harder,heinrich,illustrator,German,1858,76,"heinrich harder ( 2 june 1858 -- 5 february 1935 ) was a german artist and an art professor at the prussian academy of arts in berlin. heinrich harder, as a landscape painter exhibited paintings inspired by the scenery of lüneburg, mecklenburg, the harz mountains, sweden and switzerland, at the `` grosse berliner kunstausstellung '' in 1891. he also illustrated natural history articles. these included a series accompanying wilhelm bolsche articles on earth history for `` die gartenlaube '' a weekly magazine. he also illustrated 60 dinosaur and other prehistoric animal collecting cards for the reichardt cocoa company, titled `` tiere der urwelt '' with accompanying text by wilhelm bölsche.",https://en.wikipedia.org/wiki/index.php?curid=13227849
antonio de martino,antonio,physician,Italian,1815,89,"antonio de martino ( 25 february 1815 - 29 february 1904 ) was an italian physician, researcher and politician.",https://en.wikipedia.org/wiki/index.php?curid=38303041
lee rich,lee,filmmaker,American,1918,93,"lee rich ( december 19, 1918 -- may 24, 2012 ) was an american film and television producer, who won the 1973 outstanding drama series emmy award for `` the waltons '' as the producer. he is also known as the co-founder and former chairman of lorimar television. among the five emmy nominated programs rich produced were the series `` dallas '' and `` knots landing ''.",https://en.wikipedia.org/wiki/index.php?curid=35959189
gilbert layton,gilbert,politician,Canadian,1899,61,"gilbert layton ( november 5, 1899 -- may 29, 1961 ) was a businessman and politician in quebec, canada.",https://en.wikipedia.org/wiki/index.php?curid=838874
angelo mangiarotti,angelo,architect,Italian,1921,91,angelo mangiarotti ( 26 february 1921 -- 2 july 2012 ) was an italian architect and industrial designer with a reputation built on `` never forgetting the real needs of users ''. he mainly focused on the industrial process for buildings and design production. the main concept in mangiarotti 's architecture was established through the correct use of matter and technique.,https://en.wikipedia.org/wiki/index.php?curid=20903889
